,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
0,nCamargo,Cold Front,2019-02-19,funk_brazil,track
1,Various Artists,Come On Baby,2019-01-07,funk_brazil,track
2,Duoscience,Hold It - Original,2019-05-27,funk_brazil,track
3,Various Artists,Souvenirs - Miami Master 2k19,2019-04-13,funk_brazil,track
4,nCamargo,Submersion,2019-02-19,funk_brazil,track
5,Duoscience,Page Obe [RECAP],2019-07-29,funk_brazil,track
6,Various Artists,A presa,2019-11-22,funk_brazil,track
7,Various Artists,Whoomp Just a Little,2019-01-07,funk_brazil,track
8,Various Artists,Leblon via vaz lobo,2019-03-29,funk_brazil,track
9,Various Artists,Groovin' That Funky - LLølita Edit,2019-10-04,funk_brazil,track
10,Various Artists,Memory,2019-01-31,funk_brazil,track
11,Duoscience,Elastic Memory - Original,2019-07-29,funk_brazil,track
12,Duoscience,Call Me - Jingle,2019-01-14,funk_brazil,track
13,Various Artists,Soul de verão (Fame) [Reggae Version],2019-11-22,funk_brazil,track
14,Various Artists,I Need You,2019-10-14,funk_brazil,track
15,Various Artists,Ship In Sight,2019-09-16,funk_brazil,track
16,S.P.Y,See Your Face Again,2019-03-08,funk_brazil,track
17,Various Artists,Oh Annie,2019-07-11,funk_brazil,track
18,Various Artists,Alright,2019-01-07,funk_brazil,track
19,Softmal,Jacker Baby - Radio Edit,2019-03-22,funk_brazil,track
20,Various Artists,ABC - Artomik Remix,2019-04-01,funk_brazil,track
21,Duoscience,Sweet and Dark - Original,2019-05-27,funk_brazil,track
22,Various Artists,Mr Funky Samba,2019-07-12,funk_brazil,track
23,Various Artists,Maria fumaça,2019-05-31,funk_brazil,track
24,Softmal,Shiny,2019-02-15,funk_brazil,track
25,Various Artists,Groovin' That Funky - LLølita Edit,2019-07-13,funk_brazil,track
26,Various Artists,Oh Annie,2019-01-07,funk_brazil,track
27,Various Artists,Low Low Low Rider,2019-07-13,funk_brazil,track
28,Various Artists,A caça,2019-12-27,funk_brazil,track
29,Duoscience,Absolte Blue,2019-03-11,funk_brazil,track
