,nombre_artista,bio,listeners,playcount,similar
0,Los Rebeldes,"Los Rebeldes is a Spanish Rock and Roll / Rockabilly band from Barcelona formed in 1979 by Carlos Segarra (vocals & guitar), Aurelio Morata (bass) & Moises Sorolla (drums). They recorded his first album in 1981, tittled ""Cerveza, chicas y... Rockabilly"" (Beers, girls and... Rockabilly). <a href=""https://www.last.fm/music/Los+Rebeldes"">Read more on Last.fm</a>",23210,160332,"['Gatos Locos', 'Loquillo y Trogloditas', 'Loquillo Y Los Intocables', 'Los Coyotes', 'Rey Lui']"
1,VINAI,"VINAI is an electronic music group formed in 2011 by Italian producers Alessandro Vinai (Brescia, 25 January 1990) and Andrea Vinai (Brescia 10 January 1994). As a duo, they have produced EDM songs. The success started with the publication of the single ""Raveology"" in January 2014 with DVBBS on Spinnin' Records.
 <a href=""https://www.last.fm/music/Vinai"">Read more on Last.fm</a>",226898,2510107,"['Klaas', 'lunax', 'Tungevaag', 'R3hab', 'Vize']"
2,Chaqueta de Chándal," <a href=""https://www.last.fm/music/Chaqueta+de+Ch%C3%A1ndal"">Read more on Last.fm</a>",2809,22931,"['Camellos', 'Pantocrator', 'Parquesvr', 'Los Estanques', 'Alavedra']"
3,Marisol,"Marisol (o Pepa Flores, su nombre real) es una gran artista del cine y la música española y aunque esté retirada desde hace muchos años eso no hace más que aumentar su popularidad, entre sus seguidores y entre los que la recuerdan en las películas de su infancia.

Inició su carrera en 1960, a los 12 años, en la película ""Un rayo de luz"", con un enorme éxito, no sólo en España sino a nivel internacional incluso en Japón. De ahí en adelante filmó alrededor de 15 películas <a href=""https://www.last.fm/music/Marisol"">Read more on Last.fm</a>",46578,292972,"['Los Secretos', 'Massiel', 'Los Bravos', 'Mocedades', 'Nino Bravo']"
4,Da Igual,"Wences Sánchez empieza a despuntar desde bien pequeño como cantante y compositor. Su aire juvenil y desenfadado, junto a un estilo muy peculiar, le dan a sus canciones un toque muy personal que lo diferencian del resto. Su proyecto musical va gestándose poco a poco hasta que, en 2005, nace DA=. 

Tras mucho trabajo y largas horas de ensayo, DA= sale al mercado de forma independiente y autoproduce su primer disco, INJUSTIFICABLE. Sin apenas promoción <a href=""https://www.last.fm/music/da+igual"">Read more on Last.fm</a>",718,8835,"['nada que decir', 'Doctor Pitangú', 'Barrio Sur', 'EXCESO', 'Lagarto Amarillo']"
5,Nada Surf,"Nada Surf is an American alternative rock group that was formed in 1992. The New York band consists of Matthew Caws (guitar, vocals), Ira Elliot (drums, vocals) and Daniel Lorca (bass, vocals). Their debut album, titled 'High/Low', came out on June 18, 1996 and featured production work from Ric Ocasek of The Cars

The band is best known for the song ""Popular"", released as a single from their aformentioned debut. The song reached #11 on the US Billboard Alternative Songs chart and propelled the album itself to #63 on the Billboard 200. <a href=""https://www.last.fm/music/Nada+Surf"">Read more on Last.fm</a>",1082320,24127075,"['Rogue Wave', 'The Lemonheads', 'Superdrag', 'Buffalo Tom', 'The Long Winters']"
6,Rayo," <a href=""https://www.last.fm/music/Rayo"">Read more on Last.fm</a>",11746,59932,"['Lasitud', 'Vaya Futuro', 'Cora Yako', 'coloreSantos', 'Los Mundos']"
7,Belen Arjona,"The name of the artist is wrong - the right name is Belén Arjona

Please update your tags, using musicbrainz may help. <a href=""https://www.last.fm/music/+noredirect/Belen+Arjona"">Read more on Last.fm</a>",524,8639,[]
8,Eladio y Los Seres Queridos," <a href=""https://www.last.fm/music/Eladio+y+Los+Seres+Queridos"">Read more on Last.fm</a>",4240,59299,"['elodio y los seres queridos', 'Grises', 'Lovely Luna', 'Egon Soda', 'The New Raemon']"
9,Los Directivos," <a href=""https://www.last.fm/music/Los+Directivos"">Read more on Last.fm</a>",881,31466,"['Anntona', 'Los lagos de Hinault', 'Espanto', 'La estrella de David', 'Klaus & Kinski']"
