,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
0,Various Artists,Un boomerang,2019,pop,track
1,Los Rebeldes,Land of Thousand Dances - Remasterizado,2019,pop,track
2,Various Artists,No te enamores,2019,pop,track
3,Various Artists,Walk Me Home,2019,pop,track
4,VINAI,Break the Beat - Radio Edit,2019,pop,track
5,Various Artists,Candela - Latin Workout Remix,2019,pop,track
6,Various Artists,Déjame Ser,2019,pop,track
7,Chaqueta de Chándal,A Moderno Resabiado No Le Mires el Dentado,2019,pop,track
8,Various Artists,I Was Made for Dancin',2019,pop,track
9,Various Artists,Malibu,2019,pop,track
10,Marisol,"Corre, Corre Caballito - Remasterizado",2019,pop,track
11,Da Igual,Eres Tú,2019,pop,track
12,Nada Surf,Something I Should Do,2019,pop,track
13,Various Artists,Wow.,2019,pop,track
14,Los Rebeldes,Mediterraneo (Ensayos Básicamente) - Remasterizado,2019,pop,track
15,Los Rebeldes,Tequila - Remasterizado,2019,pop,track
16,Various Artists,Bonita,2019,pop,track
17,Various Artists,No volveré - A seguir tus pasos,2019,pop,track
18,Various Artists,Me Quedo,2019,pop,track
19,Various Artists,Talk (feat. Disclosure),2019,pop,track
20,Los Rebeldes,Hacerte el Amor (Ensayos Básicamente) - Remasterizado,2019,pop,track
21,Various Artists,Everything She Wants - Remastered,2019,pop,track
22,Various Artists,My Favourite Game,2019,pop,track
23,Los Rebeldes,Oh! Darling (Ensayos Básicamente) - Remasterizado,2019,pop,track
24,Los Rebeldes,Un Español en Nueva York (Ensayos Básicamente) - Remasterizado,2019,pop,track
25,Various Artists,SOS,2019,pop,track
26,Various Artists,Piece Of Your Heart,2019,pop,track
27,Various Artists,Breakout,2019,pop,track
28,Various Artists,Feel This Moment (feat. Christina Aguilera),2019,pop,track
29,Various Artists,Ni Gucci Ni Prada - Remix,2019,pop,track
30,Various Artists,Ya Para Qué,2019,pop,track
31,Various Artists,Poquito A Poco,2019,pop,track
32,Los Rebeldes,Great Balls of Fire - En Directo Coin Julio 1994,2019,pop,track
33,Rayo,Hierba,2019,pop,track
34,Belen Arjona,You Say,2019,pop,track
35,Eladio y Los Seres Queridos,Quemé una Bandera por Ti - Edición Deluxe,2019,pop,track
36,Various Artists,Guay,2019,pop,track
37,Various Artists,Los Románticos,2019,pop,track
38,Los Directivos,Hola a Todos,2019,pop,track
39,The New Raemon,Cíclope (Ensayo),2019,pop,track
40,Los Rebeldes,Prefiero Verte Muerta - Remasterizado,2019,pop,track
41,Various Artists,De tus ojos - Versión Carlos Jean,2019,pop,track
42,Various Artists,Ni La Hora,2019,pop,track
43,Various Artists,Voy a Mil,2019,pop,track
44,Various Artists,Presiento,2019,pop,track
45,Duo Dinamico,Ala Hula Rock (Original Mix),2019,pop,track
46,"Emilia, Pardo y Bazán",Ciudad de Vacaciones,2019,pop,track
47,Various Artists,Un niño,2019,pop,track
48,Marisol,Adiós al Colegio - Remasterizado,2019,pop,track
49,Various Artists,A trabajos forzados,2019,pop,track
50,Various Artists,Volveré,2019,pop,track
51,Various Artists,Fácil,2019,pop,track
52,Marisol,Muchachita - Remasterizado,2019,pop,track
53,Various Artists,Loco,2019,pop,track
54,Various Artists,Estrella Polar - En Directo En La Voz / 2019,2019,pop,track
55,Marisol,Corazón Contento - Remasterizado,2019,pop,track
56,Kañasur,Cofre de Mentiras,2019,pop,track
57,Various Artists,Después de tu adiós,2019,pop,track
58,Son Del Barrio,De Repente,2019,pop,track
59,Various Artists,Pa Olvidarte,2019,pop,track
60,Maria Carrasco,Vienes,2019,pop,track
61,Los Rebeldes,Esperando a Valerie - Remasterizado,2019,pop,track
62,Various Artists,Everybody (Backstreet's Back) - Radio Edit,2019,pop,track
63,Neleonard,¿Dónde Están Los Niños?,2019,pop,track
64,MARÍA TOLEDO,Dibújame Un Corazón,2019,pop,track
65,Los Directivos,Los Viejos,2019,pop,track
66,Los Rebeldes,Una Estupida Cancion de Amor - Remasterizado,2019,pop,track
67,Ketito,Lunas Grises,2019,pop,track
68,Various Artists,Ya No Tiene Novio - Remix,2019,pop,track
69,Various Artists,La primavera trompetera,2019,pop,track
70,El Grajo,El Poder de Tus Manos,2019,pop,track
71,Various Artists,Atravesándote - Live,2019,pop,track
72,Roberto Casalino,A Un Isolato Da Te,2019,pop,track
73,Luisa Lacerda,Lua Cheia,2019,pop,track
74,Various Artists,Compás de espera,2019,pop,track
75,MINOS,Marra,2019,pop,track
76,Roto,Espacio,2019,pop,track
77,Julio Jaramillo,Corazón De Papel,2019,pop,track
78,Various Artists,A Medellin,2019,pop,track
79,Gildardo Montoya,La Niña de Piendamo,2019,pop,track
80,Los Relicarios,Llorando en las Cantinas,2019,pop,track
81,Luciano y Concholon,Idilios,2019,pop,track
82,Bowen y Villafuerte,Sueño un Cariño,2019,pop,track
83,Nechivile,Se você fosse,2019,pop,track
84,Luciano y Concholon,Flores de Mayo,2019,pop,track
85,Bouba Menguè,Mon choix,2019,pop,track
86,Nechivile,Muito amor envolvido,2019,pop,track
87,Darío Gómez,El Grillo,2019,pop,track
88,Elymar Santos,Deus Te Proteja de Mim - Ao Vivo,2019,pop,track
89,Surma Chanu,Nungshibadi Thamkhiroi,2019,pop,track
90,"Rajiv Sinha,Mitali Ghosh,Bashir Ansari",Jiya Jaan Mare Gori Hi Re Fashion Wali,2019,pop,track
91,Bhakta Prasad Barik,Bela Re Bela,2019,pop,track
92,Devi,Piya Gayele Kalkatta,2019,pop,track
93,Rohit Thakor,Je Thavu Hoy Te Thay Bija Ni Nai Thava Dau Yaar - Original,2019,pop,track
94,Mousam Gogoi,Bhabhileu Bhagoru,2019,pop,track
95,"Manoj Sahri,Anjali",Shadi Ghare Dekhlo,2019,pop,track
96,Alok Kumar,Pyar Ka Bhukhar,2019,pop,track
97,Celso Adolfo,Minha Fé,2019,pop,track
98,Dikshu,Parijaat,2019,pop,track
99,Kuber Geetpariha,Bholi Suratiya,2019,pop,track
100,Renan e Rafael,Nem Me Lembro Que Você - Ao Vivo,2019,pop,track
101,Celso Adolfo,Minha Fé,2019,pop,track
102,Rajender Singh Kharkiya,Kuch Te Mere Mann Mein,2019,pop,track
103,Kuber Geetpariha,Bholi Suratiya,2019,pop,track
104,Dreamhunter,Ka Lawm Zel Ang,2019,pop,track
105,Kaboy Kamakili,Good Morning,2019,pop,track
106,Various Artists,"Dal Kahi Re - From ""Sala Budha""",2019,pop,track
107,Mithu Marshal,Bhatar Me U Naikhe Sawad,2019,pop,track
108,Mithu Marshal,Biche Me sutas Babuya Choli,2019,pop,track
109,"Rajiv Sinha,Mitali Ghosh,Bashir Ansari",Jiya Jaan Mare Gori Hi Re Fashion Wali,2019,pop,track
110,"Vishnu,Sanjay,Mitali Ghosh",Naina Re Tor Naina Se,2019,pop,track
111,Various Artists,O Deota,2019,pop,track
112,Aakangkhya Das,Aai,2019,pop,track
113,Alok Kumar,Pyar Ka Bhukhar,2019,pop,track
114,Akshaya Mohanty,Nahin Mo Pade Aji Nupura,2019,pop,track
115,Los Relicarios,Me Voy Ausentar,2019,pop,track
116,Domenico Modugno,Balla Balla (Remastered),2019,pop,track
117,Various Artists,Hunajaisin huulin,2019,pop,track
118,Surendra Perera,Waradak Una Nam,2019,pop,track
119,Sangeetha Rajeev,Hai Salaam,2019,pop,track
120,Ajungi,Change the World,2019,pop,track
121,Lado Madheshiya,Naacha Ae Bhauji Acharwa Oadh,2019,pop,track
122,BATTLE BOYS,With you With me (3rd全国選抜【西日本ver.】),2019,pop,track
123,Mohini Pandey Priti,Gaari Dehab Chun Ke,2019,pop,track
124,Gopal Gurjar,Chhoro Gurjar KO,2019,pop,track
125,Porter Wagoner,Touching Memories,2019,pop,track
