,nombre_artista,nombre_canción,año_lanzamiento,género_musical,tipo
0,Mad Essence,Eternity,2019,trance,track
1,Mad Essence,Jesus Hates You,2019,trance,track
2,Mad Essence,Freedom Inside,2019,trance,track
3,Various Artists,Hand In Hand,2019,trance,track
4,Various Artists,Broken - Louis Vivet Remix,2019,trance,track
5,Sensation,Where Is the Love (Long Deep House),2019,trance,track
6,Cosmic Gate's Wake Your Mind Radio,Wake Your Mind Intro (WYM272),2019,trance,track
7,Various Artists,In Your Dark Place - Original Mix,2019,trance,track
8,Mad Essence,Black Area,2019,trance,track
9,Various Artists,Believe in Shame - House Rhythms Mix,2019,trance,track
10,Cosmic Gate's Wake Your Mind Radio,Wake Your Mind Intro (WYM287),2019,trance,track
11,Cosmic Gate's Wake Your Mind Radio,Wake Your Mind Intro (WYM270),2019,trance,track
12,Cosmic Gate's Wake Your Mind Radio,Wake Your Mind Intro (WYM293),2019,trance,track
13,Various Artists,Your Skin,2019,trance,track
14,Various Artists,Beyond the Bay - Iris Dee Jay Chill Mix,2019,trance,track
15,Various Artists,Serenity III,2019,trance,track
16,Various Artists,Miami - Airplay Mix,2019,trance,track
17,Various Artists,Harmonic Waves - Live Version,2019,trance,track
18,Roman Messer Suanda Radio,"Suanda Music (Suanda 163) - Coming Up, Pt. 1",2019,trance,track
19,Various Artists,Heart & Soul 2012 Remixes - Hifi Sean Dub,2019,trance,track
20,Monstercat Silk,Different You - Approaching Black Vocal Remix,2019,trance,track
21,Various Artists,Fall in Love - Vocal Chill Mix,2019,trance,track
22,Various Artists,Banlieue,2019,trance,track
23,Various Artists,For Us - Mixed,2019,trance,track
24,Various Artists,Wy Words - Original Mix,2019,trance,track
25,Various Artists,Winter,2019,trance,track
26,Rockka,Passengers,2019,trance,track
27,Various Artists,Korubo - Original Mix,2019,trance,track
28,Various Artists,Goddess of Sleep,2019,trance,track
29,Accuface,Let Your Mind Fly 2007 - Remastered Alex M. vs. Marc Van Damme Edit,2019,trance,track
30,GoaDoc,Corona - Goa Trance 2020 DJ Mixed,2019,trance,track
31,GoaDoc,Into the Void - Goa Trance Party 2020 Mixed,2019,trance,track
32,Various Artists,45 Seconds - Mr Hyde Remix,2019,trance,track
33,Various Artists,Lalala Girl 2k17 - Jens O. Remix Edit,2019,trance,track
34,Goa Doc,Brutus Softus - Progressive Fullon 2020 DJ Mixed,2019,trance,track
35,Various Artists,See the Sun,2019,trance,track
36,Various Artists,Sleeping Thoughts,2019,trance,track
37,Goa Doc,Green Rain - Psy Chill Progressive Trance 2020 DJ Mixed,2019,trance,track
38,Various Artists,Unique,2019,trance,track
39,Nicolas Rada,Shadow People - Charles Webster Remix,2019,trance,track
40,Goa Doc,Hunab Ku - Psy Chill Progressive Trance 2019 Dj Mixed,2019,trance,track
41,Various Artists,Where Are You 2k17 - Phillerz Remix Edit,2019,trance,track
42,Various Artists,Eureka - AudioStorm Remix,2019,trance,track
43,Various Artists,Elysian Vibe,2019,trance,track
44,Ori Uplift,Want You To Go [UpOnly 338] - Vocal Mix - Mix Cut,2019,trance,track
45,Goa Doc,From Nibiru - Goa Psytrance 2020 DJ Mixed,2019,trance,track
46,GoaDoc,D.I.Y. - Goa Trance 2020 DJ Mixed,2019,trance,track
47,GoaDoc,Algae Forest - Goa Trance Party 2020 Mixed,2019,trance,track
48,Goa Doc,Mad Kuranes - Psy Chill Progressive Trance 2020 DJ Mixed,2019,trance,track
49,Various Artists,Tribute - Imran Khan Rmx,2019,trance,track
50,Mad Essence,Total Mind Redemption - Instrumental,2019,trance,track
51,Various Artists,Yerba Del Diablo - Fitness Version,2019,trance,track
