,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
0,Various Artists,Margrats,2019-05-31,techno,track
1,Disco Van,Missing,2019-08-26,techno,track
2,Niño Árbol,VOYAGE,2019-11-15,techno,track
3,Various Artists,Moet,2019-10-22,techno,track
4,Various Artists,Clouds,2019-01-14,techno,track
5,Alexander Kowalski,Crystal Pattern 2,2019-06-28,techno,track
6,Various Artists,Law of Motion,2019-08-28,techno,track
7,Nineteen Sines,The Hole,2019-04-22,techno,track
8,Various Artists,Costa Rica,2019-08-28,techno,track
9,DP-6,Geomagnetic Reversion - Mixed,2019-05-20,techno,track
10,Various Artists,In My Soul,2019-10-18,techno,track
11,Norberto Lusso,57,2019-04-22,techno,track
12,Marco Ginelli,Acidizer - Guillermo DR Remix,2019-05-08,techno,track
13,Various Artists,Ritual,2019-12-25,techno,track
14,SUBSET,Chase the Dragon,2019-02-04,techno,track
15,Various Artists,Funk Boy,2019-08-25,techno,track
16,Mila Journée,Wine,2019-10-16,techno,track
17,Markus Schulz - Global DJ Broadcast,C166W,2019-01-18,techno,track
18,Various Artists,The Dealer,2019-05-24,techno,track
19,Various Artists,Oblivion,2019-08-26,techno,track
20,Various Artists,What We Think,2019-10-05,techno,track
21,Various Artists,Mutant - Bjœrn stolpmann Remix,2019-04-08,techno,track
22,Various Artists,Indiana Groove - Tribal Drum Edit,2019-05-24,techno,track
23,Luix Spectrum,Nimbus,2019-07-22,techno,track
24,Sascha Audit,Dark Knight - Davy JounZ Remix,2019-09-27,techno,track
25,Manel Diaz,Minimal Boys Like Big Boobs - Saul Espada Remix,2019-04-19,techno,track
26,Various Artists,Enemy,2019-08-12,techno,track
27,Greg Denbosa,Black Out,2019-01-21,techno,track
28,Dkult,Desejo,2019-04-09,techno,track
29,Various Artists,You Give Me - Original Mix,2019-02-15,techno,track
30,Various Artists,Electrobula,2019-07-22,techno,track
31,Duck Sandoval,Cura Mortal,2019-02-04,techno,track
32,Darknezz,Empire Of The Sun,2019-11-11,techno,track
33,Fabrice Torricella,Bankster,2019-06-10,techno,track
34,Various Artists,Minimal Underground - Original Mix,2019-02-28,techno,track
35,Various Artists,Organic,2019-01-18,techno,track
36,Maguta,Orgasm,2019-05-11,techno,track
37,Marc Molina,Love,2019-04-08,techno,track
38,Apart,Cells - Arnaud Le Texier Remix,2019-07-29,techno,track
39,Various Artists,Oscillation,2019-03-29,techno,track
40,Christian Gerlach,Regulus,2019-12-09,techno,track
41,Various Artists,Embrace Death,2019-05-23,techno,track
42,Deeperwalk,Hirider - Owen Ni Rmx,2019-02-18,techno,track
43,Various Artists,Shut Up! - ROBUST Techno Remix,2019-12-09,techno,track
44,I7HVN,Opal,2019-05-01,techno,track
45,Various Artists,Autocuidado,2019-05-31,techno,track
